#Node (Gene/Gene Cplx)	Label (E/NE)	NE and E information on individual genes
bcp|tpx	NE	NE|NE
bioH	E	E
nagZ	NE	NE
ugpQ|glpQ	NE	NE|NE
uidA	NE	NE
ybbO|ahr|yahK|yqhD	NE	NE|NE|NE|NE
paoA&paoB&paoC	NE	NE&NE&NE
ssuD	NE	NE
tynA	NE	NE
yqhD	NE	NE
alkA	NE	NE
arfB|pth	NE	NE|E
dtd	NE	NE
rnd	NE	NE
allB	NE	NE
allC	NE	NE
lacZ	E	E
ushA	NE	NE
galM	NE	NE
melA	NE	NE
otsA	NE	NE
pgm	NE	NE
treF|treA	NE	NE|NE
lacY	NE	NE
setB|setA	NE	NE|NE
cobT	NE	NE
iaaA&iaaA|iadA	NE	NE&NE|NE
mtfA|ypdF	NE	NE|NE
pepA	NE	NE
pepB	NE	NE
pepD	NE	NE
pepE	NE	NE
pepP	NE	NE
pepQ	NE	NE
pepT	NE	NE
ypdE	NE	NE
cof|nudJ	NE	NE|NE
thiE	NE	NE
folB	NE	NE
folK	E	E
yiaY|tdh	NE	NE|NE
ribC	E	E
ribE	E	E
yigB|ybjI	NE	NE|NE
gcvP	NE	NE
gcvT	NE	NE
cheB	NE	NE
nrfD&nrfC&nrfB&nrfA	NE	NE&NE&NE&NE
allE	NE	NE
amtB	NE	NE
asnB|asnA	NE	NE|NE
aspA	NE	NE
astB	NE	NE
cdd	NE	NE
codA	NE	NE
dcd	NE	NE
guaA	E	E
guaC	NE	NE
guaD	NE	NE
hemC	E	E
iaaA|ansA|ansB	NE	NE|NE|NE
lpd&gcvH&gcvT	E	E&NE&NE
mnmE	NE	NE
nadE	E	E
nagB	NE	NE
nirD	NE	NE
pdxH	E	E
pncA	NE	NE
pncC	NE	NE
puuB	NE	NE
ribD	E	E
rutD	NE	NE
tadA	E	E
ybaS|yneH.OROR.	NE	NE|yneH.OROR.
argG	E	E
argS	E	E
asnB	NE	NE
asnS	E	E
aspS	E	E
birA	E	E
caiC	NE	NE
cpdA	NE	NE
cysS	E	E
entF	NE	NE
epmA	NE	NE
fadK|fadD	NE	NE|NE
glnS	E	E
gltX	E	E
gluQ	NE	NE
glyS&glyQ	E	E&E
hisS	E	E
hypF	NE	NE
ileS	E	E
leuS	E	E
ligA|ligB	NE	E|NE
ligT	NE	NE
lysS|lysU	NE	NE|NE
menE	NE	NE
metG	E	E
mnmA	NE	NE
moeA	NE	NE
nudC	NE	NE
paaK	NE	NE
panC	E	E
pheS&pheT	E	E&E
ppsA	NE	NE
proS	E	E
prpE|acs	NE	NE|NE
prs	E	E
relA	NE	NE
relA|spoT	NE	NE|E
rnb	NE	NE
selD	NE	NE
serS	E	E
thrS	E	E
tilS	E	E
trpS	E	E
tyrS	E	E
valS	E	E
ycaO	NE	NE
ynjE	NE	NE
azoR	NE	NE
trpD	E	E
trpE&trpD	E	E&E
cysD&cysN	E	E&E
gutQ|kdsD	NE	NE|NE
kdsA	E	E
sixA	NE	NE
argH	E	E
astA	NE	NE
iap	NE	NE
yddG	NE	NE
arsC	NE	NE
pitA	NE	NE
aslA	NE	NE
ulaC&ulaB&ulaA	NE	NE&NE&NE
ansP	NE	NE
cca	E	E
coaD	E	E
cyaA	NE	NE
hisG	E	E
metK	E	E
moeB	NE	NE
mog	NE	NE
nadD	E	E
nrdD	NE	NE
pcnB	NE	NE
cycA	NE	NE
panD	E	E
fruB&fruA	NE	NE&NE
yqaB	NE	NE
bglX	NE	NE
fabA	E	E
dacA|ampC	NE	NE|NE
betB	NE	NE
emrE	NE	NE
ompF|ompC	NE	NE|NE
proP	NE	NE
bioB	E	E
bisC	NE	NE
lpxB	E	E
lpxH	E	E
gstB	NE	NE
ydaM|dgcZ|ycdT|dosC|yeaP	NE	NE|NE|NE|NE|NE
yfgF|yhjH|gmr|dosP|yahA	NE	NE|NE|NE|NE|NE
mraY	E	E
dctA	NE	NE
dcuC|dcuA|dcuB	NE	NE|NE|NE
rffT	NE	NE
wzxE	NE	NE
murG	E	E
ftsW|murJ	NE	E|E
mrcA|mrcB|mtgA|pbpC	NE	NE|NE|NE|NE
cadB	NE	NE
ldcC|cadA	NE	NE|NE
cynS	NE	NE
rutB	NE	NE
argF|argI	NE	NE|NE
pyrB	E	E
pyrC	E	E
aceE	NE	NE
cynT|can	NE	NE|E
dmlA	NE	NE
dxs	E	E
fdoG&fdoH&fdoI|fdnI&fdnH&fdnG	NE	NE&NE&NE|NE&NE&NE
gcl	NE	NE
gnd	NE	NE
hemE	E	E
hemF	NE	NE
hemN	NE	NE
lysA	E	E
maeA	NE	NE
maeB	NE	NE
menA	NE	NE
nadC	E	E
oxc	NE	NE
pheA	E	E
psd	E	E
pyrF	E	E
scpB	NE	NE
sgbH|ulaD	NE	NE|NE
speD	NE	NE
speF|speC	NE	NE|NE
trpC	E	E
tyrA	E	E
clsB|clsA	NE	NE|NE
clsC	NE	NE
caiB	NE	NE
caiT	NE	NE
fieF	NE	NE
zupT	NE	NE
cdh	NE	NE
pgsA	E	E
pssA	E	E
chbA&chbC&chbB|ascF	NE	NE&NE&NE|NE
bcsZ	NE	NE
bcsB&bcsA	E	E&NE
lipA	NE	NE
nrdG	NE	NE
pflA	NE	NE
thiH	NE	NE
phnJ	NE	NE
hemA	E	E
aat	NE	NE
selA	NE	NE
cobB	NE	NE
chbA&chbC&chbB	NE	NE&NE&NE
chiP	NE	NE
hdhA	NE	NE
mdtM	NE	NE
betT	NE	NE
menF|entC	NE	NE|NE
tyrA|pheA	NE	E|E
acnB|acnA	NE	NE|NE
citT	NE	NE
clcA	NE	NE
clcB	NE	NE
mcrB&mcrC	NE	NE&NE
lspA	E	E
sppA	NE	NE
gspO	NE	NE
kdsB	E	E
waaA	E	E
waaZ	NE	NE
rcnA	NE	NE
zupT|corA	NE	NE|NE
dapD	E	E
fadM	NE	NE
menI	NE	NE
metA	E	E
paaY	NE	NE
prpC	NE	NE
pta	NE	NE
sucB	NE	NE
tesB	NE	NE
btuB	E	E
yihO	NE	NE
yihS	NE	NE
fucI	NE	NE
fucU	NE	NE
tqsA	NE	NE
allA	NE	NE
allD	NE	NE
acnB	NE	NE
prpD	NE	NE
bglF|ascF	NE	NE|NE
ascB|bglA|bglB	NE	NE|NE|NE
folM	NE	NE
bglB	NE	NE
mrdA|mrcB|mrcA|ftsI	NE	E|NE|NE|E
thiG	NE	NE
mutT	NE	NE
galE	NE	NE
galT	NE	NE
galU	NE	NE
ugd	NE	NE
waaG	NE	NE
waaJ	NE	NE
waaO	NE	NE
metE	E	E
fcl	NE	NE
curA	NE	NE
rutA	NE	NE
dapA	E	E
dapB	E	E
mhpC	NE	NE
glf	NE	NE
waaB	NE	NE
ilvA|tdcB	NE	E|NE
acrA&acrB	NE	NE&NE
waaH	NE	NE
eptC	NE	NE
eptA	NE	NE
fadB	NE	NE
psuG	NE	NE
cmoA	NE	NE
uxaC	NE	NE
srlD	NE	NE
ybbB	NE	NE
opgE	NE	NE
mutM	NE	NE
ftnA	NE	NE
yihT	NE	NE
rhaA	E	E
ptsG&crr	NE	NE&NE
yjcS	NE	NE
paaE&paaA&paaC&paaB	NE	NE&NE&NE&NE
ulaG	NE	NE
pgl	NE	NE
yieH	NE	NE
cysJ	E	E
fre	NE	NE
yiaO&yiaN&yiaM	NE	NE&NE&NE
melB	NE	NE
bglF	NE	NE
yahK	NE	NE
phoA|cpdB	NE	NE|NE
mmuM	NE	NE
mmuP	NE	NE
idi	NE	NE
ispA	E	E
ispH	E	E
ycjU	NE	NE
argC	E	E
psuT	NE	NE
moaD&moaE	NE	NE&NE
chbF|bglB|ascB	NE	NE|NE|NE
agp	NE	NE
phoA|suhB	NE	NE|E
frmA	NE	NE
yeiG|frmB	NE	NE|NE
luxS	NE	NE
mobA	NE	NE
prpB	NE	NE
paaZ	NE	NE
gph	NE	NE
menB	NE	NE
cynX	NE	NE
yghA|ybbO|dkgA|yahK	NE	NE|NE|NE|NE
dkgB	NE	NE
arsB	NE	NE
glpF	NE	NE
dmsA&dmsB&dmsC	NE	NE&NE&NE
mocA	NE	NE
recJ	NE	NE
uvrB&uvrC&uvrA	NE	NE&NE&NE
mutL&mutS&mutH	NE	NE&NE&NE
astD	NE	NE
mug	NE	NE
hyuA	NE	NE
tig|surA|fkpA|fkpB|ppiC|ppiB|fklB|slyD|ppiA	NE	NE|NE|NE|NE|NE|NE|NE|NE|NE
bisC|msrA	NE	NE|NE
